2                       (0,0)    (+1.000e+00,+0.000e+00)
2                       (0,0)    (+1.000e+00,+0.000e+00)
2     (+1.446e-04,-1.133e-04)    (+7.469e-01,-6.649e-01)
2     (+1.674e-04,-7.159e-04)    (+1.378e-01,-9.905e-01)
2     (-6.590e-04,-1.520e-03)    (-5.067e-01,-8.621e-01)
2     (-2.495e-03,-1.583e-03)    (-9.144e-01,-4.047e-01)
2     (-4.637e-03,-8.222e-05)    (-9.886e-01,+1.504e-01)
2     (-5.972e-03,+3.090e-03)    (-7.912e-01,+6.115e-01)
2     (-5.608e-03,+7.341e-03)    (-4.519e-01,+8.920e-01)
2     (-3.202e-03,+1.179e-02)    (-8.770e-02,+9.961e-01)
2     (+1.115e-03,+1.567e-02)    (+2.315e-01,+9.727e-01)
2     (+6.882e-03,+1.836e-02)    (+4.810e-01,+8.765e-01)
2     (+1.375e-02,+2.007e-02)    (+6.665e-01,+7.451e-01)
2     (+2.133e-02,+2.072e-02)    (+8.017e-01,+5.970e-01)
2     (+2.952e-02,+2.041e-02)    (+8.963e-01,+4.419e-01)
2     (+3.835e-02,+1.912e-02)    (+9.579e-01,+2.839e-01)
2     (+4.788e-02,+1.667e-02)    (+9.910e-01,+1.239e-01)
2     (+5.809e-02,+1.269e-02)    (+9.975e-01,-3.862e-02)
2     (+6.881e-02,+6.676e-03)    (+9.765e-01,-2.040e-01)
2     (+7.963e-02,-2.010e-03)    (+9.252e-01,-3.709e-01)
2     (+8.976e-02,-1.399e-02)    (+8.394e-01,-5.359e-01)
2     (+9.824e-02,-2.994e-02)    (+7.139e-01,-6.926e-01)
2     (+1.030e-01,-4.941e-02)    (+5.461e-01,-8.299e-01)
2     (+1.026e-01,-7.196e-02)    (+3.358e-01,-9.336e-01)
2     (+9.553e-02,-9.621e-02)    (+8.831e-02,-9.868e-01)
2     (+8.061e-02,-1.200e-01)    (-1.838e-01,-9.723e-01)
2     (+5.757e-02,-1.408e-01)    (-4.593e-01,-8.751e-01)
2     (+2.713e-02,-1.558e-01)    (-7.085e-01,-6.877e-01)
2     (-8.964e-03,-1.623e-01)    (-8.955e-01,-4.144e-01)
2     (-4.803e-02,-1.585e-01)    (-9.833e-01,-7.545e-02)
2     (-8.671e-02,-1.432e-01)    (-9.421e-01,+2.906e-01)
2     (-1.214e-01,-1.166e-01)    (-7.583e-01,+6.298e-01)
2     (-1.483e-01,-7.998e-02)    (-4.433e-01,+8.804e-01)
2     (-1.643e-01,-3.577e-02)    (-3.860e-02,+9.850e-01)
2     (-1.671e-01,+1.250e-02)    (+3.868e-01,+9.068e-01)
2     (-1.555e-01,+6.068e-02)    (+7.467e-01,+6.438e-01)
2     (-1.297e-01,+1.043e-01)    (+9.571e-01,+2.372e-01)
2     (-9.113e-02,+1.389e-01)    (+9.586e-01,-2.314e-01)
2     (-4.285e-02,+1.605e-01)    (+7.372e-01,-6.549e-01)
2     (+1.096e-02,+1.662e-01)    (+3.350e-01,-9.274e-01)
2     (+6.506e-02,+1.543e-01)    (-1.552e-01,-9.736e-01)
2     (+1.135e-01,+1.246e-01)    (-6.110e-01,-7.735e-01)
2     (+1.504e-01,+7.976e-02)    (-9.122e-01,-3.726e-01)
2     (+1.706e-01,+2.372e-02)    (-9.768e-01,+1.268e-01)
2     (+1.705e-01,-3.727e-02)    (-7.857e-01,+5.935e-01)
2     (+1.489e-01,-9.570e-02)    (-3.893e-01,+9.039e-01)
